750: SVWUQ
355: OpenClipboard
355: ExpandEnvironmentStringsA
355: CloseClipboard
354: SetClipboardData
354: OleUninitialize
354: OleInitialize
354: GetTempFileNameA
354: EmptyClipboard
353: SetCurrentDirectoryA
353: SHFileOperationA
353: RegEnumValueA
352: SetFileTime
352: SHBrowseForFolderA
352: DialogBoxParamA
351: SetDlgItemTextA
351: SendMessageTimeoutA
351: SHGetFileInfoA
351: SHAutoComplete
351: GetDlgItemTextA
350: CheckDlgButton
349: LoadImageA
349: CreateDialogParamA
348: VQSPW
348: UUUUW
348: SearchPathA
348: SQVPW
348: SPSj0
348: SHLWAPI
348: RichEdit20A
348: RichEd32
348: RichEd20
348: RegEnumKeyA
348: RegDeleteKeyExA
348: PPPPPP
348: MessageBoxIndirectA
348: ImageList_AddMasked
348: CompareFileTime
348: AppendMenuA
348: ADVAPI32
348: 8NCRCu
329: SHGetFolderPathA
328: Graphics
327: uDSSh
327: SQSSSPW
327: SHFOLDER
320: softuW
283: rEozej
283: aRcqb
283: O5LcS
283: NullsoftInstJ
283: BQUZe
279: kxppX
279: hAZBM
279: Vwqkm1
279: PYJgBQ
279: GcMYL
279: Classes
279: 3n1yuQ
279: 3ChOZ
278: uqijj
278: hYsaN
278: Wqa5d
278: U6pqs
278: RQhJx
278: QyQOG
278: K68x3
278: FZ5Kf
278: 9fKZ6
278: 6xgpE
278: 5vRYw6
278: 1rrdN
278: 0faFNf
262: EndIf
173: Menus
160: 333333
147: VirtualAlloc
146: MessageBoxA
136: Height
132: 33333
131: TShiftState
130: Width
127: VirtualFree
111: Shift
109: TControl
98: SysFreeString
96: System
95: False
93: TDragDockObject
93: 444444
92: EndFunc
91: SysUtils
90: 333333333333333333
89: TCanvas
88: QQQQQSVW
84: GetStdHandle
83: TWinControl
82: Handled
81: SetEndOfFile
80: fffffox
80: TPoint
80: Source
80: MousePos
80: ActnList
79: TRect
78: oejdejT
77: Visible
76: GetKeyboardType
76: 3333333
74: Color
73: LoadStringA
72: PlayFlashDXA
71: GetLocaleInfoA
71: GetCurrentThreadId
70: VirtualQuery
68: DISPLAY
68: Caption
67: State
67: QQQQSV
66: LeaveCriticalSection
66: EnterCriticalSection
65: TabOrder
65: InitializeCriticalSection
65: Error
65: DeleteCriticalSection
64: WideCharToMultiByte
62: PixelsPerInch
62: LocalAlloc
62: 44444
61: RtlUnwind
61: APPDATA
60: TDragState
60: String
60: ACanvas
59: SHGetSpecialFolderPathA
59: 33333333
57: vpJSV
57: j7451
57: d2YMnS
57: SSSSS
57: MtO6F
56: zmfvk
56: zjkuA
56: zZZOb
56: zXbb_y
56: zQLy7
56: zL5Z5U
56: zFXTe
56: z8RFf
56: z4677s
56: ysEi2
56: yQQvwV
56: yKJPk
56: y8Q18
56: xn3sc
56: xg8wC
56: x_Nun
56: xHjGP
56: xFWQ5
56: weRnV
56: weHvK
56: wWSsw
56: w1VAl
56: vsuwm
56: vpfvr
56: vGtM83qW
56: v9y_c
56: upokH
56: ub6OC
56: uWUWW79
56: uUnbW
56: uNwNnZ6
56: u4apl
56: u2UwDN
56: tcMrC
56: tZg2B8
56: tYtFn
56: tYruY
56: tOoAf
56: tOf2o
56: tFtEtC
56: szwiX
56: sttucT
56: sVvQvUvS
56: sUn2G
56: sLd2D
56: s4RwH
56: rw2P7
56: ruwIV
56: rnuem_y
56: rYiaa
56: rS_2z
56: rQJ3x
56: r6ICx
56: qfoGHn
56: qZvz1L
56: qSWJH
56: pmnGy
56: plejMr
56: pZDc27
56: p8b6rx
56: ozLEng
56: oWc8HX
56: oRO8HtK
56: oLEMT
56: oGIMz
56: nkzze
56: neRowOQK
56: nXkEE
56: nTUEC
56: nReaR
56: nQnvM
56: nHDKI
56: nEig1
56: nBDbDH
56: n4q7R
56: n0gZI
56: mf_Q8NQ8
56: mSrRI
56: mSorC
56: mOXLb
56: mDLbX
56: m65Ng
56: m2dJN
56: lyRfz
56: lughQbiI
56: lqzBc
56: lmJnnV
56: lZ1kE
56: lTi6N
56: lNWoD
56: lN0kv
56: l3IRs
56: l2h7mw
56: kgj7B
56: kbSuM
56: kbCQt6
56: kYWKY
56: kWkGT
56: kO6hO
56: jcZfA
56: jSrWu
56: jP_u9
56: jNAbws
56: jLALo
56: jEj9Q
56: j7xBk
56: j7sXK
56: j2YWO
56: iyy9y
56: iyh9C
56: idB19
56: i_hW57
56: iSoR2
56: iHNgeN
56: i8QA9
56: hzYEH
56: hiVWc
56: hfMdHZ
56: hPkPc
56: hL2TF
56: gz4v2
56: grUWk
56: gkw67
56: ghbj3
56: gcdME
56: gZKfG
56: gJIpL
56: g7XQ8
56: g5eiyY
56: fwTdo1
56: fpeRk6r
56: flp7T
56: fffox
56: ffVFn
56: fdLeY
56: f_cKO
56: fXhVf
56: fOUCt
56: f65E3
56: f3i2D
56: f29SL
56: f09QGq5
56: esyCKr
56: eojfQ
56: emLfZ
56: eSV9M
56: eGeWd
56: eEhFb
56: e7bCAO
56: e4P60
56: e0Rvlw
56: dveCQ
56: dvOxH
56: dtvjT
56: deEeuOc
56: dXVTVg
56: dSZv3
56: dQE_6
56: dKeO0A
56: ctq5Y
56: csrFwb
56: cr0pj
56: cRFuJ
56: cQTo3
56: cGXx76
56: cFt0kx
56: c5Yuep
56: brffG
56: bawGLk
56: bXdXi
56: bMr5G
56: ajVAH
56: ajLU1
56: aIgcX
56: _xM1Oq
56: _gNmAB
56: _Yysee
56: _X5W2
56: _RH_N
56: _PnNJFVj
56: _KTRN
56: ZuqU3ri
56: ZfDPDPHH
56: ZXe5P
56: ZIRwk
56: ZGnEE
56: Z6cIb
56: YwULP
56: Yw7SC
56: Yvf9cg
56: YuihN
56: Yuf1Ys
56: YjHuJ
56: YdRgQ
56: Yc9hXm
56: YX8Te
56: YK8ko
56: YK4KY
56: YCorra
56: Y9jn9
56: Y48YE
56: Xy1Rl
56: Xwxyu
56: Xp0S1
56: XgN8Q
56: XfeFW
56: XaBXOx
56: XVtIX
56: XPiYr
56: XGHoX
56: WxRidRq
56: WdOpg
56: Wd7Wd7Wd
56: WcXfz
56: W8YB6
56: VxQFx
56: VtO3zn
56: VrilY
56: Vqmjl
56: VqPTF
56: VgYeE
56: VfQGg
56: VIWUG
56: VA7ixA
56: V3oFt
56: V3gxk
56: UoRDA
56: Uf6dkH
56: UdlY9
56: UcSsSkSq
56: UTuYE
56: U8Z8c
56: TxiQl
56: TuAuYu
56: TmLvq
56: Th033
56: TeyEgl
56: Tc8Q6
56: TVqPY
56: TN66I
56: TLgMPC
56: TBPpn
56: Swuzz
56: SQU1T
56: S5FNO
56: Rtbes
56: RrPMo
56: Rp5_U
56: RkNXHi
56: RgGRi
56: ReeKU
56: RcJSj
56: RaO5A
56: RRlg3R
56: R0sP0
56: QmRB8n
56: QEA8l
56: QCwdW8
56: PvaCu
56: PtSIF
56: PoKh6
56: Pc8AK
56: PRPpe
56: OqvRF
56: OWLvt
56: OGkgA
56: OG78LA
56: OAYPl
56: O9cMR
56: O5FQ8
56: O4j0l0
56: Nxp6n
56: Nw65UZ
56: Nuv_R
56: NRSMI
56: NJEIp
56: N7xSk
56: Mb0PQ
56: MaWtdH
56: MY2qR
56: MRxe9BH
56: MGuLr
56: LzlgI
56: LxWql
56: LwEdA4
56: LjeqXY
56: LiNxO
56: LREMV
56: LOQM2
56: Kxzjfv
56: KZFHE
56: KQjiM
56: KEBki
56: K7KDV2
56: JyHum
56: Juouj
56: Jk3Ti
56: JhewB
56: JeKMK
56: JLvBI
56: JHR0b
56: Isg_I
56: IcmWO
56: IYbT8
56: IWPUV
56: IB2vdG
56: Hlkm4
56: HjCgR
56: H5PmdU
56: H4MKr
56: GetVersionExA
56: G3vJv
56: Flbs7i
56: Fhcbef
56: F_c7c
56: FY1os
56: FNboX
56: FKvZH
56: FDOzs
56: F83EE
56: EspE_
56: EoLbc
56: Ega1V
56: E4ZGK
56: Dfam1
56: DW48G
56: DG8vU
56: DFrqa
56: D7cV1
56: D2o2c
56: D2cBx
56: D1lB_
56: CvcYDtb
56: CtivQ
56: CsAIo
56: Cprhd7
56: CncBe
56: CjsLK
56: Cbttu
56: CZQQJ
56: CX4dsd
56: CQrzo
56: CFlfyh
56: CCmfR
56: BzAXllX
56: BkkCi
56: Bj7A7
56: BI01p
56: Av3L8
56: As3OX_
56: Ajfj2Hm
56: Action
56: AXn4dfM
56: AC6zZ
56: 9yYiv
56: 9qCYm
56: 9h9b9i9
56: 9Xs2y
56: 9M9NZ
56: 9G5O4
56: 9FZYi
56: 9F7GF
56: 9EuAD
56: 9Bo8m
56: 8vrpV
56: 8fmU8
56: 8UNup
56: 8SkBRt
56: 8LciF
56: 8LSg6
56: 8BREH
56: 7wKuB
56: 7eROt
56: 7a_Uh
56: 7SGd3e
56: 7LCJ8
56: 7FLetG
56: 78xjZ
56: 6t_ku
56: 6oMbDV
56: 6jbmE
56: 6fThJ
56: 6eUfp
56: 6WmNq
56: 6V1ROi
56: 6C_3W_
56: 646eX
56: 63yCCM
56: 5kZnQ_W
56: 5d9TK
56: 5Zoxx
56: 5Rf3z
56: 5LTG5
56: 55PaE
56: 52w2W
56: 4ujqj
56: 4tRjE
56: 4omVh
56: 4KldvF
56: 4G5FmSH1
56: 40dn3
56: 3yisFG
56: 3WNI5_7
56: 3U6Xv
56: 3Nn9NcN
56: 3Mei47w
56: 3KTNMK
56: 3HteQO3
56: 3Fuxx
56: 3Dkot
56: 39ZQLN
56: 34oBR
56: 20xnd
56: 1qtPC
56: 1pw4bs
56: 1mZFF1
56: 1WxLG
56: 1KMQ5
56: 1GCOI
56: 1F8PK
56: 19ZVb
56: 0tHoo
56: 0XOqDN
56: 0PgaO5
56: 0El6d
56: 0CDgY
56: 06f0G
55: PopupMenu
55: OnDragOver
55: HelpContext
55: GetThreadLocale
55: GetStartupInfoA
55: Enabled
54: wwwwp
54: DragMode
53: NullsoftInst
53: GetFileType
53: GetACP
53: AutoHotkeys
52: WINDIR
52: VVVVV
52: TlsSetValue
52: TlsGetValue
52: RaiseException
51: TranslateMessage
51: TMouseButton
51: TApplication
51: QQSVW
51: OnEndDock
51: OnClick
51: ExtCtrls
51: CompareStringA
50: Variants
50: GetLastActivePopup
50: ActiveX
49: VirtualProtect
49: StdCtrls
49: Anchors
48: xmldom
48: USER32
48: ParentBiDiMode
48: MSXML
48: GetMonitorInfoA
48: GetCPInfo
48: Default
48: Constraints
46: zg1Rv
46: yty8izT
46: ynMG_
46: vOHaE
46: slIGZ
46: rbAor
46: perZm
46: ojIvai
46: oCdF54F
46: kmBJO
46: io10g
46: i26jI
46: fZjQ9
46: fEyEy
46: fAmZdE
46: eeuAL
46: eROmS
46: dKX1K7Z
46: bm1US
46: beeEll
46: al9F3i
46: _s_mQu
46: ZKn2vu
46: ZFjJ2
46: YtZQX
46: Y1nnlU
46: UnhandledExceptionFilter
46: USVST
46: SjOdm
46: RYvlZZ
46: R9eZF
46: PGwmvEq
46: OwW8rT
46: OnChange
46: NSy1W
46: JS12c
46: BWQs3B
46: BRVZD
46: BB3Kr
46: AiGV0
46: AUTkPg
46: 9yD14
46: 9Dlmvo
46: 91__d
46: 8qDOY
46: 8PiVVM4
46: 6Yj5US
46: 1koAC
46: 0ltMJ
46: 0hyJH
46: 0U_OX
45: InterlockedIncrement
45: GetActiveWindow
45: Dialogs
45: CoUninitialize
44: TCustomVariantType
44: InterlockedDecrement
43: OnContextPopup
43: LoadIconA
43: GetEnvironmentVariableA
43: Accept
42: lstrcpyA
42: TIcon
42: Style
42: SafeArrayPtrOfIndex
42: InterlockedExchange
42: GetSystemTime
42: CoInitialize
42: BiDiMode
42: AutoLineReduction
41: UnrealizeObject
41: TOwnerDrawState
41: QQQQSVW
41: FindResourceA
41: DragKind
40: WordBool
40: VariantClear
40: Unknown
40: TControlScrollBar
40: TCloseAction
40: TBrush
40: StdActns
40: Play2a
40: OwnerDraw
40: OnMouseDown
40: OnDragDrop
40: MinWidth
40: ImgList
40: ARect
39: wwwwww
39: TCustomControl
39: TBitmapCanvas
39: LoadResource
39: 4444444
39: 0123456789ABCDEF
38: TTimer
38: TPersistent
38: TForm
38: TComponent
38: TCommonDialog
38: TBasicAction
38: SizeofResource
38: SHChangeNotify
38: PPRTj
38: Cancel
37: TCustomImageList
37: Images
37: HomePage
37: GetWindowTextA
37: GetErrorInfo
37: EDivByZero
36: TStrings
36: TGraphic
36: TBaseDragControlObject
36: PostMessageA
36: LockResource
36: FormatMessageA
36: Bitmap
35: ZTUWVSPRTj
35: VariantCopy
35: MinHeight
35: MaxWidth
35: MaxHeight
35: EVariantError
35: EUnderflow
35: EStackOverflow
35: EPrivilege
35: EOverflow
35: EOutOfMemory
35: EMathError
35: EInvalidOp
35: EInvalidCast
35: EIntOverflow
35: EIntError
35: EExternalException
35: EConvertError
35: EControlC
35: EAccessViolation
35: Bottom
34: VariantChangeTypeEx
34: TControlCanvas
34: SysAllocStringLen
34: SaveDC
34: PPPPPPPP
33: WideString
33: USQWVR
33: TScreen
33: SetFocus
33: GetWindow
33: GetParent
33: GetLocalTime
33: FPUMaskValue
33: Dispatch
32: ParentFont
32: OnStartDock
32: OleVariant
32: MapWindowPoints
32: LocalFree
32: HeapAlloc
32: GetObjectA
32: Button
32: Alignment
32: Align
