10004: Width
290: FreeEnvironmentStringsW
290: 700WP
289: Button1
289: BevelInner
288: SUVW3
288: Extract
287: ParentBiDiMode
287: GetDC
285: GetWindowRect
285: Contains
285: ClientHeight
284: Wednesday
284: Tuesday
284: Thursday
284: Sunday
284: Saturday
284: Monday
284: Friday
284: AIndex
283: ACount
282: September
282: October
282: November
282: March
282: January
282: February
282: December
282: August
282: April
281: EditMask
281: EditAddressDialog
281: DeleteFileW
280: AList
279: TlsAlloc
279: SetWindowPos
278: lblInfo
278: FileName
276: QQSV3
275: TciCheckBox
274: HeapSize
274: Flags
273: DeleteObject
272: TCollectionNotification
272: SetErrorMode
272: LoadResource
271: TPanel
271: GetProcessHeap
271: GetFileAttributesW
271: GetClientRect
271: DataSource
269: LockResource
269: IsDebuggerPresent
269: FlsAlloc
268: GetVersion
267: tlCenter
267: Comparison
266: SetForegroundWindow
266: QSVW3
266: QQQQSV
266: FCompare
266: Construct
265: jdhhBK
265: Reverse
265: ParentCtl3D
264: OpenProcessToken
264: LastIndexOf
264: GetVersionExA
264: CoCreateInstance
264: AControl
264: ACompare
263: LoadLibraryW
262: false
262: TlsFree
262: SetEvent
262: SelectObject
262: FOnNotify
261: lstrlenW
261: _aimagetipe
261: Options
261: GetStartupInfoA
261: GetDlgItem
261: DeleteRange
260: PostQuitMessage
260: OnMouseUp
260: OnEndDrag
259: OverviewPage
259: InterlockedExchange
258: FooterText
257: delete
257: SizeofResource
257: PSUVW
257: IsWindow
257: InitializeCriticalSectionAndSpinCount
257: FindFirstFileW
256: LocalAlloc
256: GetSystemInfo
256: Ctl3D
255: VirtualQuery
254: UUUUU
254: RemoveItem
253: QSUVW
252: Label2
251: __bbStrStore
251: FDictionary
251: DropDown
251: CreateDirectoryW
251: ADictionary
249: lstrlenA
249: _VlistStyle
249: _MaxComboItems
249: ValueItems
249: FilterButtonPicture
249: FCount
249: ExternalEditor
249: EditMaskUpdate
249: EditMaskRight
249: DataWidth
249: ConvertEmptyCell
249: ButtonPicture
248: IsValidCodePage
248: InterlockedDecrement
248: EnableWindow
247: CorExitProcess
245: QhtUK
244: RegOpenKeyExA
243: InterlockedIncrement
243: FlsSetValue
243: FlsGetValue
243: FlsFree
242: GetDeviceCaps
242: GetConsoleMode
241: Shift
240: ciCheckTextGroup1
240: __cdecl
240: Shape
240: GlobalLock
240: DecodePointer
240: CreateWindowExW
240: CompareStringW
239: SysUtils
238: GlobalUnlock
237: ciEdit1
236: OnMouseLeave
235: WriteConsoleW
234: SetTextColor
234: GetLocaleInfoW
234: GetConsoleCP
234: AClass
233: IndexOfItem
233: Expand
232: wwwwp
232: _arocket
231: OnNotify
230: wwwwwwwwww
230: OnDragDrop
230: DispatchMessageW
229: tEXtSoftware
229: SetWindowLongW
229: RegQueryValueExA
229: Handled
228: QQQQQSVW
227: ciCheckBox1
227: SendMessageW
227: FormatMessageW
227: EndPaint
227: CoTaskMemFree
227: BeginPaint
226: DataSet
226: BiDiMode
225: GetLocaleInfoA
225: ExtractItem
225: CoUninitialize
224: TRect
222: xpxxxx
222: jlhhBK
222: ReleaseDC
221: SetTimer
221: GetVersionExW
219: _freadcfg
219: VVVVj
219: HeapCreate
218: operator
218: _aboll
218: SendCoinsEntry
218: SSSSW
218: EndDialog
217: EncodePointer
216: wwwwwwwww
216: SetCursor
216: AssignControls
215: Details
214: ciLabel5
214: __unaligned
214: __thiscall
214: __stdcall
214: __restrict
214: __ptr64
214: __pascal
214: __fastcall
214: __clrcall
214: CreateProcessW
213: VirtualProtect
213: RegSetValueExW
212: lblLabel
212: AutoHeight
212: AdjustTokenPrivileges
211: ScrollBars
211: GetSysColor
211: FontSize
210: OldCreateOrder
209: RemoveDirectoryW
209: NodeName
209: GetTempPathW
209: DeleteDC
209: Adobe
208: TNewButton
208: QQSVWd
208: GetStartupInfoW
208: 700PP
207: InvalidateRect
206: MulDiv
205: SetHandleCount
205: SetBkColor
205: ScreenToClient
205: PeekMessageW
204: kenys
204: UUUUUUUU
204: RegCreateKeyExW
204: ParentHandler
204: FindNextFileW
203: SetFileTime
203: DefWindowProcW
202: xppwpp
202: SetFocus
202: DragKind
202: AlignToBand
202: AHXLXN
202: 9C3J3W
202: 0IWfH
201: _aimagey
201: LoadLibraryExW
201: FillRect
200: lstrcpynW
200: SetBkMode
200: OnStartDock
199: GetWindowLongW
199: GetProcessWindowStation
199: Cursor
197: JanFebMarAprMayJunJulAugSepOctNovDec
197: CoInitialize
197: AutoStretch
196: OnContextPopup
196: HeapDestroy
196: GetStockObject
195: SunMonTueWedThuFriSat
195: LoadFromStream
194: CreateEventW
193: QQQQSVW
192: _aimage
192: SetWindowTextW
192: IsWindowVisible
191: Finalize
191: Address
190: TBevel
190: GetParent
190: GetLocalTime
190: CallWindowProcW
188: SaveToStream
187: clGreen
187: URPQQh
186: ciCheckBox2
186: TciCheckText
186: CreateCompatibleDC
186: Columns
186: BevelOuter
185: NumberingValue
185: CheckTextGroup
184: log10
184: LCMapStringA
184: ComCtrls
183: OnMouseEnter
183: GetStringTypeA
182: R6025
182: R6024
182: R6019
182: R6018
182: R6017
182: R6016
182: R6009
182: R6008
182: R6002
182: OnEndDock
182: FindResourceW
181: _aimagex
181: R6028
181: R6027
181: R6026
181: Append
181: 333333333333333333
180: LoadCursorW
180: Bitmap
179: _fhide
179: DeleteFileA
179: ColCount
178: _apanels
178: KERNEL32
177: SHGetFolderPathW
177: PostMessageW
177: GetThreadLocale
177: BitBlt
176: CompareStringA
175: _fpositionentity
175: Label3
175: IsWindowEnabled
175: GetWindow
175: FOnChange
175: EnableMenuItem
174: bvLowered
174: GetFullPathNameW
173: GetDesktopWindow
172: TShiftState
172: TNewNotebookPage
172: SendMessageA
171: wwwwwww
171: clWindow
171: GetUserDefaultUILanguage
171: GetEnvironmentStrings
171: FormClose
170: VerQueryValueW
170: TWinControl
170: Button
169: ffffff
169: VerdanaD
169: UUUUUU
169: FreeEnvironmentStringsA
169: CopyFileW
169: CharNextW
168: ciLabel9
168: Menus
168: GetSystemDirectoryW
168: GetFileAttributesA
167: ciLabel8
167: SetFileAttributesW
167: KillTimer
167: GetWindowThreadProcessId
166: ciLabel6
166: ciCheckBox9
166: UpdateWindow
166: Thawte1
166: RegDeleteValueW
166: GetFileVersionInfoSizeW
166: Durbanville1
166: CancelButton
165: SetCurrentDirectoryW
165: Reader
165: GetFileVersionInfoW
164: ciRepeatStripeContainer1
164: QQQQS
163: SetEnvironmentVariableA
163: Section
163: RegDeleteKeyW
163: GetTimeZoneInformation
162: akRight
162: akBottom
162: Offset
162: GetCurrentThread
161: ShellExecuteW
161: RegisterClassW
161: OnKeyUp
160: bsDialog
160: GetCursorPos
160: Checked
160: ARect
159: cmdCancel
159: LoadStringW
158: _aimagemenugroup
158: ResetEvent
158: QQQQQQSVW
158: DrawTextW
158: CreateDirectoryA
157: IDATX
156: wsprintfW
156: UUUUUUUUUUUU
156: MonitorFromWindow
156: FormShow
156: Button1Click
155: _fretdraw3dy
155: _fretdraw3dx
155: Write
155: ParentDoubleBuffered
155: Images
155: ExitWindowsEx
154: MapWindowPoints
154: Active
153: 80604
153: 1354212173
152: OnKeyDown
152: GetTempFileNameW
152: DoubleBuffered
151: wwwwwwww
151: ciMemo1
151: MsgWaitForMultipleObjects
151: MoveFileExW
151: DispatchMessageA
150: akLeft
150: TrackPopupMenu
150: FindFirstFileA
150: FileTimeToSystemTime
150: ClientToScreen
148: ReadData
148: InsertRangeN
147: ciShape1
147: ciShape
147: _abox_nombeobject
147: GetMessagePos
147: GetForegroundWindow
147: FreeSid
146: atan2
146: WriteData
146: OleInitialize
146: N0L0J
146: CreateSolidBrush
145: TDateField
145: Point
145: FHandle
145: Button2
144: lstrcmpiW
144: TIntegerField
144: Label4
144: GetWindowTextW
144: 0123456789ABCDEF
143: lstrcmpW
143: IsWow64Process
143: CreatePopupMenu
142: ciEdit2
142: ciDate3
142: Unknown
142: TBitmapImage
142: PeekMessageA
142: GetCurrentDirectoryW
142: Description
141: TControl
141: Owner
141: MapViewOfFile
141: InitCommonControls
141: HelpContext
140: Uci4XMLGenerator
140: UVWATAUAVAWH
140: MoveWindow
140: LoadImageW
140: IsIconic
140: GetUserObjectInformationA
140: GetMessageW
140: GetFocus
140: FileTimeToLocalFileTime
140: DataSource1
140: 7GWgw
139: vvvvvv
139: lstrcpyW
139: hii333333
139: ciLabel7
139: AllocateAndInitializeSid
138: clYellow
138: DuplicateHandle
138: AValue
137: cmdClose
137: Scaled
137: Image
137: CreateProcessA
136: __bbStrFromInt
136: UnmapViewOfFile
136: QSWVj
136: PropInfo
136: OleUninitialize
136: ImageList_Create
136: FormatMessageA
136: FormCreate
136: 8VVVVV
136: 50301
136: 121221000000Z
135: lstrcmpA
135: ciCheckBox8
135: OpenProcess
135: FreeResource
134: Qkkbal
134: QQQQQQSV
134: LoadIconW
134: CreateFontIndirectW
133: Salford1
133: ImageList_Destroy
133: BorderIcons
132: ciLabel11
132: WWWWV
132: ResumeThread
132: ItemHeight
132: InterlockedCompareExchange
132: GetWindowsDirectoryW
132: GetKeyState
132: 121018000000Z
131: u8SS3
131: floor
131: biSystemMenu
131: R6034
131: R6033
131: R6032
131: R6031
131: R6030
131: QSVWj
131: Amount
131: ACapacity
130: GetMonitorInfoW
130: GetConsoleOutputCP
130: DestroyMenu
129: SystemTimeToFileTime
129: SetRect
129: PtInRect
129: OnMouseActivate
129: OnClose
129: InitCommonControlsEx
129: GetSubMenu
129: GAIsProcessorFeaturePresent
129: ExitThread
129: 201229235959Z0b1
128: frexp
128: _hypot
128: StartIndex
128: SHGetPathFromIDListW
128: CreateCompatibleBitmap
127: pontja
127: ldexp
127: SetActiveWindow
127: DDDDDD
126: poScreenCenter
126: QQQQQSV
126: GetWindowsDirectoryA
126: DestroyIcon
126: DSUVW
126: CallNextHookEx
125: _cabs
125: WriteConsoleA
125: SaveDC
125: GetObjectW
125: FindNextFileA
124: wIVSP
124: bsRaised
124: Version
124: SystemParametersInfoW
124: SystemParametersInfoA
124: Strings
124: OnShow
123: bsNone
123: __eabi
123: WATAUAVAWH
123: UnregisterClassW
123: TCanvas
123: SetWindowLongA
123: LookupPrivilegeValueW
123: IsDialogMessageW
123: GetWindowPlacement
123: GetSysColorBrush
123: CreateBitmap
122: WWWWh
122: UnhookWindowsHookEx
122: SHGetMalloc
122: RestoreDC
122: RegSetValueExA
122: RegEnumValueW
122: LoadBitmapW
122: Label5
122: IsValidLocale
122: GetPrivateProfileStringW
122: GetMenu
122: False
122: Close
122: 0g0W0_0
121: Target
121: SetViewportOrgEx
121: ReleaseCapture
121: MousePos
121: CreateWindowExA
120: tR99u2
120: dEU6te
120: Update
120: TciMemo
120: Shape2
120: MonitorFromPoint
120: GetUserDefaultLCID
120: GetCurrentDirectoryA
120: Frame1
120: DrawIcon
120: AData
119: wwwwwwp
119: _nextafter
119: _logb
119: QQQQQS3
119: FocusControl
119: CreateMutexW
119: 0123456789abcdefghijklmnopqrstuvwxyz
118: WaitForMultipleObjects
118: V1MCC4000MEC1000MCR1000x
118: TImageList
118: SetCapture
118: Password
118: GetTokenInformation
118: GetDiskFreeSpaceW
117: TDataSource
117: SSSSj
117: RemoveDirectoryA
117: LoadLibraryExA
117: GetWindowDC
117: ExpandEnvironmentStringsW
116: TComponent
116: SetSecurityDescriptorDacl
116: IsProcessorFeaturePresent
116: InitializeSecurityDescriptor
116: ImageList_ReplaceIcon
116: Ident
116: GetSystemTime
116: GetDriveTypeA
116: ASender
115: lstrcpyA
115: _fupdatelog
115: TPoint
115: Selected
115: OffsetRect
115: GetClassInfoW
115: GetCapture
115: Execute
115: AdjustWindowRectEx
115: AWidth
114: akTop
114: GetDlgCtrlID
114: CheckMenuItem
114: Accept
113: pvisel
113: bvNone
113: MessageBeep
113: LocalFileTimeToFileTime
113: ImageList1
113: GetMonitorInfoA
113: FindResourceExW
113: FListHelper
113: DesignSize
113: APalette
112: cmdExit
112: RegisterWindowMessageW
112: LoadStringA
112: IsAdmin
112: GlobalDeleteAtom
112: Bevel1
112: AFormat
111: wwwwwwwwwwp
111: version
111: ciEdit3
111: GetSystemMenu
111: GetEnvironmentVariableA
110: crHandPoint
110: _amnmenubututil
110: SHBrowseForFolderW
110: RegCreateKeyExA
110: GetMenuItemCount
110: GetClipBox
110: CREATE
109: cmdHelp
109: _atextdrawgroup
109: TxtUnchecked
109: TReader
109: TCheckBox
109: OleVariant
109: IntersectRect
109: DISPLAY
109: AdvGrid
109: ACanvas
108: zletr
108: cmdOK
108: SHGetSpecialFolderLocation
108: Oslo1
108: GetWindowLongA
108: FilterBar
108: CopyRect
108: 0S0n0
107: wwwwwwwwwwwwwwp
107: SetWindowTextA
107: ReleaseMutex
107: MoveFileW
107: GetTempPathA
107: GetDiskFreeSpaceExW
107: GGGGGG
107: ClipRect
106: __TlgCV__
106: TciDate
106: StubVersion
106: StubName
106: SetFilePointerEx
106: SendDlgItemMessageA
106: QQSVWh
106: ProgramVersion
106: Locked
106: GetShortPathNameW
105: wsprintfA
105: unknown
105: lstrcmpiA
105: WritePrivateProfileStringW
105: TShape
105: RhtUK
105: RegEnumKeyExW
105: MonitorFromRect
105: GetSystemDirectoryA
105: GetFullPathNameA
105: CreateToolhelp32Snapshot
104: count
104: UWVS1
104: ShellExecuteA
104: SetMapMode
104: QSVWh
104: OnCreate
104: GetElementColor
104: GetDateFormatA
104: ElementColor
104: CryptReleaseContext
104: CoTaskMemAlloc
104: CharNextA
104: CLSIDFromProgID
103: UNICODE
103: TImage
103: OnResize
103: GetMenuState
102: lstrcatW
102: clMaroon
102: RectVisible
102: InflateRect
102: IDAT8
102: GlobalReAlloc
102: GetTopWindow
102: ExtCtrls
101: wwwwwx
101: value
101: Status
101: OpenClipboard
101: LoadCursorA
101: GetNativeSystemInfo
101: GetModuleHandleExW
101: GetFileTime
101: GetClassNameW
101: Field
101: CloseClipboard
101: AItem
101: 333333hii
100: txtField
100: cmdButtons
100: DatabaseName
100: CreateRectRgn
100: Connection
100: CharUpperW
100: AHeight
99: wwwwwwwwwwwwwwwwwwwww
99: _ffxplay
99: WATAUH
99: TFloatField
99: SetThreadPriority
99: SetMenu
99: IDATH
99: FindWindowW
99: FArrayManager
99: 33333333333333
98: Label6
98: GlobalHandle
98: GetTextExtentPoint32W
98: GetPixel
98: GetClassInfoExW
98: DefWindowProcA
97: psInsideFrame
97: GetFileSizeEx
97: ExtTextOutW
97: DeviceIoControl
97: Component
96: Uci4SZM_XMLComplexTypes
96: Timeout
96: SetWindowsHookExW
96: PatBlt
96: GetMenuItemID
96: FindResourceA
95: jPhHyH
95: index
95: _vticpack
95: WindowFromPoint
95: TQuery
95: SetPropW
95: Label7
95: GetPropW
95: EnumDisplayMonitors
94: system
94: bsTopLine
94: TBitBtn
94: SaveToFile
94: LoadFromFile
94: Label8
94: GetUserDefaultLangID
94: GetTimeFormatA
94: DllGetVersion
94: BorderWidth
94: 22222222
93: wwwwwwwwwww
93: _aanimale
93: VWATH
93: TciCheckTextGroup
93: QQSVW3
93: OKButton
93: NumberingPostFix
93: Bottom
92: alClient
92: _abutfxtip
92: SetParent
92: QQQQQQQSVW
92: PQRWVS
92: IsRectEmpty
92: IsChild
92: InitializeCriticalSectionEx
92: GetDriveTypeW
92: BUTTON
91: UUUUW
91: SetClipboardData
91: ReadBufferData
91: O0M0K
91: NuGet
91: MultiSelect
91: HSUVW
91: HHtXHHt
91: FFFFFF
91: EmptyClipboard
91: Buttons
90: uZEeu
90: csDropDownList
90: UnregisterClassA
90: TToolButton
90: RemovePropW
90: RegEnumKeyW
90: RedrawWindow
90: LookupPrivilegeValueA
90: Label9
90: Label10
90: Image1
90: 2222222
90: 1A26b
89: l6qnk
89: jd_Fj
89: Z0X03
89: Spacing
89: SetFileAttributesA
89: Rectangle
89: IsZoomed
89: GlobalAddAtomW
89: DrawFocusRect
89: CreateEventA
89: AnsiString
89: 11111
88: wwwwwp
88: ntart
88: nYI6L
88: lstrcpynA
88: boundsObjc
88: SetViewportExtEx
88: Rghtlong
88: RegisterClassA
88: ParentRovat
88: Leftlong
88: GetWindowTextLengthW
88: GetEnvironmentVariableW
88: EInvalidOp
88: CompareFileTime
88: ClosePrinter
88: Btomlong
87: ciAddress1
87: ValidateRect
87: ShellExecuteExW
87: SetWindowExtEx
87: SetCurrentDirectoryA
87: SUVWh
87: RegQueryInfoKeyW
87: PVVRV
87: MethodName
87: GetUserNameW
87: ExcludeClipRect
87: EStackOverflow
87: DestroyCursor
87: DefaultDraw
87: CoCreateGuid
87: Category
87: CallWindowProcA
87: BackColor
87: Adobe_CM
87: 5Genu
87: 1wsHp
86: lstrcatA
86: LCMapStringEx
86: IntersectClipRect
86: EUnderflow
86: EPrivilege
86: EMathError
86: EInvalidCast
86: EExternalException
86: EDivByZero
86: DeleteMenu
86: AlphaBlend
85: start
85: SetScrollPos
85: PostMessageA
85: EOutOfMemory
85: EAbort
85: DrawTextExW
85: CryptAcquireContextW
85: CLSIDFromString
85: AName
84: ciLabel15
84: XUUUU
84: String
84: SUVWj
84: QQQQQQQQSVW
84: GlobalFindAtomW
84: GetBytes
84: GGGGG
84: Frame2
84: EConvertError
84: EAccessViolation
84: DoQueryState
84: DialogBoxParamW
84: CoInitializeEx
84: BringWindowToTop
84: BBBBBBBBBBBB
84: AMethod
83: fffff
83: YWWWWW
83: UUUUF
83: TNewRadioButton
83: TComboBox
83: OutputDebugStringW
83: GetTempFileNameA
83: GetScrollPos
83: GetMessageTime
83: EIntOverflow
82: jThhBK
82: bsToolWindow
82: WinVerifyTrust
82: UNKNOWN
82: Title
82: TDragDockObject
82: SetThreadStackGuarantee
82: SetDefaultDllDirectories
82: Panel1
82: GetSystemDefaultUILanguage
82: GetExitCodeThread
82: EqualRect
82: EControlC
82: AfterConstruction
82: 8SUVW
81: chinese
81: __bbFPow
81: TDBGrid
81: SHGetFileInfoW
81: SHFileOperationW
81: Refresh
81: QSSSj
81: Label
81: Encoding
81: EOverflow
81: DefaultHandler
81: CreateFileMappingW
81: CreateBrushIndirect
81: BevelWidth
81: Appearance
81: ActivePage
81: 2222222222
80: generic
80: _acamera
80: TextOutW
80: SysAllocStringLen
80: SelectClipRgn
80: MaskColor
80: LresultFromObject
80: LoadIconA
80: InternetOpenW
80: EInOutError
80: CreateFontIndirectA
79: _asetanimal
79: Touch
79: ToString
79: Process32NextW
79: Process32FirstW
79: PQQSVW
79: PPRTj
79: InternetCloseHandle
79: IDATh
79: GlobalSize
79: GetDiskFreeSpaceA
79: GetClassLongW
79: Filter
79: Escape
79: EVariantError
79: EIntError
79: DisplayWidth
79: AddressTableModel
79: 0123456789abcdef
78: gjegyz
78: ciCheckTextGroup2
78: TQRLabel
78: SysFreeString
78: QVWSj
78: GetRgnBox
78: ColumnHeaders
78: CheckDlgButton
78: CallerRVA
78: 5ntel
77: ciRadioButtonGroup1
77: TStaticText
77: ShowOwnedPopups
77: ScriptDlg
77: RowDividerStyle
77: RegDeleteKeyExW
77: LineTo
77: Line1
77: IsDlgButtonChecked
77: InstallingPage
77: HeadLines
77: GetWindowTextA
77: GetPrivateProfileStringA
77: DefColWidth
77: CreateStdAccessibleObject
77: BidiCtrls
77: 131210000000Z
77: 0k0o0
76: volatile
76: separator
76: ooojjj
76: cmdSave
76: WantReturns
76: TciNumEdit
76: ShortCut
76: SelectPalette
76: OpenPrinterW
76: GetCurrentPackageId
76: GetCurrent
76: EnumWindows
76: CreateDialogIndirectParamW
76: California1
76: AllowRowSizing
75: sbsSingle
75: psClear
75: SuspendThread
75: StretchDIBits
75: PostThreadMessageW
75: NotifyWinEvent
75: ImageList_Draw
75: Group
75: GetTextMetricsW
75: Folytat
75: DataMode
75: CreatePalette
75: CommandLineToArgvW
75: Command
75: CombineRgn
75: Bevel
74: alBottom
74: _floadimage
74: UnlockFile
74: SystemFunction036
74: SetRectEmpty
74: SetEntriesInAclW
74: RealizePalette
74: PathFindFileNameW
74: OutputDebugStringA
74: OnGesture
74: GetSaveFileNameW
74: GetBkColor
74: DrawTextA
74: DockSite
74: CreateStreamOnHGlobal
74: CreateFileMappingA
74: CloseServiceHandle
74: CertFreeCertificateContext
74: BeforeDestruction
74: AHandle
74: 100208000000Z
73: wwwwwwwwwwwwww
73: _fscfordepth
73: Windows
73: Result
73: QQQQQS
73: OffsetViewportOrgEx
73: InternetReadFile
73: HKEY_CURRENT_USER
73: GetUserNameExW
73: DocumentPropertiesW
73: DataType
73: CreateDialogParamW
73: CanClose
72: shpFrame
72: kernel32
72: j3PPPPP
72: WrapCellPointer
72: UUUU6
72: TabAction
72: TabAcrossSplits
72: StretchBlt
72: SizeMode
72: Shape1
72: RightToLeft
72: RegisterClipboardFormatW
72: Parameters
72: Normal
72: MarqueeUnique
72: MapDialogRect
72: LockFile
72: Label13
72: GetDCEx
72: FCanvas
72: ERangeError
72: CopyFileA
72: Clone
72: AllowUpdate
72: AllowDelete
72: AllowArrows
72: AllowAddNew
72: 3333332
72: 222222
71: ssHorizontal
71: rzsbet
71: pppaaa
71: e0c0a
71: _UserFlags
71: _RowHeight
71: _LayoutType
71: _ExtentY
71: _ExtentX
71: _ColumnProps
71: VerQueryValueA
71: TDragState
71: Stage
71: Splits
71: Split0
71: SetProc
71: SetMenuItemBitmaps
71: SeShutdownPrivilege
71: ScrollGroup
71: RecordSelectors
71: RecBuf
71: QRCodeDialog
71: MarqueeStyle
71: LocaleNameToLCID
71: LocalReAlloc
71: GlobalFlags
71: GetProc
71: GetOpenFileNameW
71: GetMenuCheckMarkDimensions
71: GetDiskFreeSpaceExA
71: EZeroDivide
71: DrawText
71: Column0
71: BigRed
71: AllowSizing
71: AllowFocus
71: ActnList
71: 2333333
71: 231209235959Z0
71: 0123456789
70: zzzbbbSSSvvv
70: xxxcccjjj
70: xxx___RQQvuu
70: tttdddttt
70: rrrfeevuu
70: qqqfffttt
70: oooha_
70: nigWQO9SZ
70: nAesContextSize
70: nAesCbcContextSize
70: mmmVUUQJH
70: lllZZZwww
70: kfehrr
70: jPhhBK
70: hhhXXXvvv
70: emrlll
70: eeewwwggg
70: ccclll___zzz
70: ccckkkooodddvvv
70: bhkqqq
70: abcdbcdecdefdefgefghfghighijhijkijkljklmklmnlmnomnopnopq
70: aaazzz
70: __bbStrCompare
70: WhtUK
70: WaitForInputIdle
70: TciRepeatStripeContainer
70: TciAddress
70: TSpeedButton
70: TAction
70: Supported
70: ScaleWindowExtEx
70: ScaleViewportExtEx
70: RowCount
70: RegOpenKeyW
70: PtVisible
70: LC_TIME
70: LC_NUMERIC
70: LC_MONETARY
70: LC_CTYPE
70: LC_COLLATE
70: JSUitw
70: Hir3v
70: HHt4HHt
70: GetNextDlgTabItem
70: GetFileVersionInfoA
70: GGf97u
70: GERS_SFX10
70: Format
70: ExpandEnvironmentStringsA
70: EdSVWP
70: CreateRectRgnIndirect
